COPY 2610
ma,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
public,tblBuddhas,Secondary_Materials,7,text,YES,
public,tblBuddhas,Period,8,text,YES,
public,tblBuddhas,Age,9,text,YES,
public,tblBuddhas,Body Position,10,text,YES,
public,tblBuddhas,Standing_Positions,11,text,YES,
public,tblBuddhas,Sitting_Positions,12,text,YES,
public,tblBuddhas,Reclining_Positions,13,text,YES,
public,tblBuddhas,Other_Positions,14,text,YES,
public,tblBuddhas,Style,15,text,YES,
public,tblBuddhas,Base,16,boolean,YES,
public,tblBuddhas,Lower_body,17,boolean,YES,
public,tblBuddhas,Upper_body,18,boolean,YES,
public,tblBuddhas,Arms,19,boolean,YES,
public,tblBuddhas,Hands,20,boolean,YES,
public,tblBuddhas,Head,21,boolean,YES,
public,tblBuddhas,Crown,22,boolean,YES,
public,tblBuddhas,Other_elements,23,boolean,YES,
public,tblBuddhas,Inscription,24,text,YES,
public,tblBuddhas,Decoration,25,text,YES,
public,tblBuddhas,Description,26,text,YES,
public,tblBuddhas,Entered_By,27,text,YES,
public,tblBuddhas,Date_of_Initial_Entry,28,timestamp without time zone,YES,
public,tblCeramics2007,Record_No,1,integer,NO,
public,tblCeramics2007,Bag_ID,2,text,YES,
public,tblCeramics2007,Porcelain Celadon,3,real,YES,
public,tblCeramics2007,Porcelain Blue White,4,real,YES,
public,tblCeramics2007,Porcelain Glazed Pale Yellow,5,real,YES,
public,tblCeramics2007,Total Porcelain,6,integer,YES,
public,tblCeramics2007,StonewareUndecorated,7,integer,YES,
public,tblCeramics2007,StonewareBodyGlazedBlueAndWhite,8,integer,YES,
public,tblCeramics2007,StonewareBodyGlazedCeladon,9,integer,YES,
public,tblCeramics2007,StonewareBodyGlazedGreen,10,integer,YES,
public,tblCeramics2007,StonewareBodyGlazedGreenWithLinearComb,11,integer,YES,
public,tblCeramics2007,StonewareGlazedBrown,12,integer,YES,
public,tblCeramics2007,StonewareGlazedDarkReddishBrown,13,integer,YES,
public,tblCeramics2007,StonewareGlazedDuskyRedIncisedCombLinearAndWave,14,integer,YES,
public,tblCeramics2007,StonewareGlazedVeryDarkBrown,15,integer,YES,
public,tblCeramics2007,StonewareGlazedBrownLinearComb,16,integer,YES,
public,tblCeramics2007,StonewareLanXangBrown,17,integer,YES,
public,tblCeramics2007,StonewareGlazedBrownishGray,18,integer,YES,
public,tblCeramics2007,StonewareGlazedBlack,19,integer,YES,
public,tblCeramics2007,StonewareBodyGlazedFancyCirclesBetweenLinearComb,20,integer,YES,
public,tblCeramics2007,StonewareBodyGlazedWithLinearKnobs,21,integer,YES,
public,tblCeramics2007,StonewareBodyPaintedRedAndWhite,22,integer,YES,
public,tblCeramics2007,StonewareBodyReliefTrianglesBetweenLinearComb,23,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBlackPlain,24,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBlackLinearComb,25,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBlackWavyComb,26,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBlackPunctateAndComb,27,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedGreyPlain,28,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedGreyLinearComb,29,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedGreyWavyComb,30,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedGreyPunctateAndComb,31,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedGreyLinearAndWaveComb,32,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBrownPlain,33,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBrownWavyComb,34,integer,YES,
public,tblCeramics2007,StonewareBodyUnglazedBrownPunctateAndComb,35,integer,YES,
